MovieID,Title,Genres,PredictedRating
2698,Zone 39 (1997),Sci-Fi,0.9416282176971436
1839,My Giant (1998),Comedy,0.9287431836128235
309,"Red Firecracker, Green Firecracker (1994)",Drama,0.9278715252876282
253,Interview with the Vampire (1994),Drama|Horror,0.9255985617637634
1108,Prerokbe Ognja (1995),Documentary,0.9249486327171326
1066,Shall We Dance? (1937),Comedy|Musical|Romance,0.922119140625
346,Backbeat (1993),Drama|Musical,0.9196352362632751
3081,Sleepy Hollow (1999),Horror|Romance,0.9194473028182983
847,"Big Squeeze, The (1996)",Comedy|Drama,0.9186547994613647
3111,Places in the Heart (1984),Drama,0.9173307418823242
49,When Night Is Falling (1995),Drama|Romance,0.9150378704071045
2918,Ferris Bueller's Day Off (1986),Comedy,0.9144241213798523
513,Radioland Murders (1994),Comedy|Mystery|Romance,0.9139072299003601
1342,Candyman (1992),Horror,0.9076136350631714
1090,Platoon (1986),Drama|War,0.9072345495223999
3497,Max Dugan Returns (1983),Comedy,0.9063748717308044
708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,0.9059750437736511
3237,Kestrel's Eye (Falkens öga) (1998),Documentary,0.905580997467041
802,Phenomenon (1996),Drama|Romance,0.9051521420478821
1170,Best of the Best 3: No Turning Back (1995),Action,0.9017416834831238
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,0.9014674425125122
1199,Brazil (1985),Sci-Fi,0.9012017846107483
1168,Bad Moon (1996),Horror,0.9011893272399902
1142,Get Over It (1996),Drama,0.9009507298469543
1054,Get on the Bus (1996),Drama,0.9009140729904175
3437,Cool as Ice (1991),Drama,0.9005672931671143
2809,Love Stinks (1999),Comedy,0.9004232883453369
2557,I Stand Alone (Seul contre tous) (1998),Drama,0.8995590209960938
3510,Frequency (2000),Drama|Thriller,0.8995552062988281
843,Lotto Land (1995),Drama,0.8995188474655151
1122,Plutonium Circus (1995),Documentary,0.899213969707489
1175,Delicatessen (1991),Comedy|Sci-Fi,0.8989461064338684
1117,"Eighth Day, The (Le Huitième jour ) (1996)",Drama,0.8978284597396851
890,Baton Rouge (1988),Thriller,0.8972676992416382
1263,"Deer Hunter, The (1978)",Drama|War,0.8969129323959351
851,Basquiat (1996),Drama,0.8958621621131897
3184,Montana (1998),Action|Comedy|Crime|Drama,0.8956480026245117
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,0.8956289887428284
2021,Dune (1984),Fantasy|Sci-Fi,0.8954917788505554
997,Caught (1996),Drama|Thriller,0.8953191637992859
1671,Deceiver (1997),Crime,0.8950061202049255
1000,Curdled (1996),Crime,0.8944613933563232
3009,Portraits Chinois (1996),Drama,0.89391028881073
761,"Phantom, The (1996)",Adventure,0.8933347463607788
1260,M (1931),Crime|Film-Noir|Thriller,0.8926847577095032
10,GoldenEye (1995),Action|Adventure|Thriller,0.892521321773529
1148,"Wrong Trousers, The (1993)",Animation|Comedy,0.8921406865119934
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,0.8907314538955688
575,"Little Rascals, The (1994)",Children's|Comedy,0.890272319316864
51,Guardian Angel (1994),Action|Drama|Thriller,0.8897902369499207
3021,"Funhouse, The (1981)",Horror,0.8892685174942017
1107,Loser (1991),Comedy,0.8890643119812012
2787,Cat's Eye (1985),Horror,0.8889732956886292
2167,Blade (1998),Action|Adventure|Horror,0.888847827911377
2526,Meteor (1979),Sci-Fi,0.8888381123542786
2873,Lulu on the Bridge (1998),Drama|Mystery|Romance,0.8884338736534119
1449,Waiting for Guffman (1996),Comedy,0.8882947564125061
2898,"Dark Half, The (1993)",Horror|Mystery,0.8881382346153259
353,"Crow, The (1994)",Action|Romance|Thriller,0.8877127170562744
2422,"Karate Kid III, The (1989)",Action|Adventure|Drama,0.8876062631607056
2931,Time of the Gypsies (Dom za vesanje) (1989),Drama,0.8870247602462769
861,Supercop (1992),Action|Thriller,0.8868774175643921
970,Beat the Devil (1954),Comedy|Drama,0.8856900930404663
737,Barb Wire (1996),Action|Sci-Fi,0.8853580355644226
2842,Best Laid Plans (1999),Crime|Drama,0.8853278756141663
2136,"Nutty Professor, The (1963)",Comedy,0.8851262331008911
636,Frisk (1995),Drama,0.8850754499435425
1120,"People vs. Larry Flynt, The (1996)",Drama,0.8844138383865356
2636,"Mummy's Ghost, The (1944)",Horror,0.88422030210495
1106,"Leopard Son, The (1996)",Documentary,0.8841906189918518
865,Small Faces (1995),Drama,0.8840920329093933
1134,Johnny 100 Pesos (1993),Action|Drama,0.8838205933570862
1158,Here Comes Cookie (1935),Comedy,0.8835551738739014
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,0.8831016421318054
1104,"Streetcar Named Desire, A (1951)",Drama,0.8829432129859924
3134,"Grand Illusion (Grande illusion, La) (1937)",Drama|War,0.8828690052032471
858,"Godfather, The (1972)",Action|Crime|Drama,0.8827182054519653
893,Mother Night (1996),Drama,0.8825230002403259
2729,Lolita (1962),Drama,0.8823751211166382
579,"Scorta, La (1993)",Thriller,0.8823570013046265
3080,"Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)",Drama|Sci-Fi,0.8821219801902771
2788,And Now for Something Completely Different (1971),Comedy,0.8821019530296326
2824,On the Ropes (1999),Documentary,0.8808898329734802
3136,"James Dean Story, The (1957)",Documentary,0.8803942799568176
2534,Avalanche (1978),Action,0.8801693320274353
2374,Gung Ho (1986),Comedy|Drama,0.8786801099777222
1110,Bird of Prey (1996),Action,0.8784388899803162
2468,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,0.8783532381057739
648,Mission: Impossible (1996),Action|Adventure|Mystery,0.8780264854431152
3389,Let's Get Harry (1986),Action|Adventure,0.8775485754013062
2816,Iron Eagle II (1988),Action|War,0.8774588108062744
3604,Gypsy (1962),Musical,0.8769715428352356
1014,Pollyanna (1960),Children's|Comedy|Drama,0.8767500519752502
713,Of Love and Shadows (1994),Drama,0.8767191767692566
3012,Battling Butler (1926),Comedy,0.8766894936561584
1041,Secrets & Lies (1996),Drama,0.8764070272445679
1128,"Fog, The (1980)",Horror,0.8762507438659668
647,Courage Under Fire (1996),Drama|War,0.8762280941009521
1735,Great Expectations (1998),Drama|Romance,0.8755471110343933
2978,Three to Tango (1999),Comedy|Romance,0.875446617603302
892,Twelfth Night (1996),Comedy|Drama|Romance,0.8752415180206299
2727,Killer's Kiss (1955),Film-Noir,0.8750928044319153
1113,"Associate, The (1996)",Comedy,0.8748285174369812
1162,"Ruling Class, The (1972)",Comedy,0.8746106624603271
1743,Arguing the World (1996),Documentary,0.8736459612846375
1004,"Glimmer Man, The (1996)",Action|Thriller,0.8736290335655212
1886,I Got the Hook Up (1998),Comedy,0.8733500242233276
872,Aiqing wansui (1994),Drama,0.8727570176124573
542,Son in Law (1993),Comedy,0.872555673122406
1143,Three Lives and Only One Death (1996),Comedy,0.8724733591079712
1032,Alice in Wonderland (1951),Animation|Children's|Musical,0.8724615573883057
2203,Shadow of a Doubt (1943),Film-Noir|Thriller,0.8723950386047363
3235,Where the Buffalo Roam (1980),Comedy,0.8719781041145325
894,Liebelei (1933),Romance,0.8717404007911682
837,Matilda (1996),Children's|Comedy,0.8714978098869324
2511,"Long Goodbye, The (1973)",Crime,0.8714723587036133
1466,Donnie Brasco (1997),Crime|Drama,0.8713820576667786
2309,"Inheritors, The (Die Siebtelbauern) (1998)",Drama,0.8705007433891296
1161,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama,0.8704119324684143
1183,"English Patient, The (1996)",Drama|Romance|War,0.8702545166015625
889,1-900 (1994),Romance,0.8701789975166321
1201,"Good, The Bad and The Ugly, The (1966)",Action|Western,0.8700881600379944
1160,Six of a Kind (1934),Comedy,0.869931697845459
3558,"Law, The (Le Legge) (1958)",Drama,0.8697840571403503
852,Tin Cup (1996),Comedy|Romance,0.8697800636291504
1713,Mouse Hunt (1997),Children's|Comedy,0.869700014591217
1147,When We Were Kings (1996),Documentary,0.8696947693824768
1365,Ridicule (1996),Drama,0.8693993091583252
1184,Mediterraneo (1991),Comedy|War,0.8693450689315796
2131,Autumn Sonata (Höstsonaten ) (1978),Drama,0.8690251111984253
1414,Mother (1996),Comedy,0.8687779307365417
881,First Kid (1996),Children's|Comedy,0.868553876876831
2859,Stop Making Sense (1984),Documentary,0.8681395053863525
1825,"Player's Club, The (1998)",Action|Drama,0.8680906295776367
1211,Wings of Desire (Der Himmel über Berlin) (1987),Comedy|Drama|Romance,0.8679655194282532
2479,Gloria (1999),Drama|Thriller,0.8679533004760742
